city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bangkok,13.7500,100.5167,Thailand,TH,Krung Thep Maha Nakhon,primary,17066000,5782000
Nonthaburi,13.8667,100.5167,Thailand,TH,Nonthaburi,admin,255671,255671
Pak Kret,13.9125,100.4978,Thailand,TH,Nonthaburi,minor,184501,184501
Hat Yai,7.0167,100.4667,Thailand,TH,Songkhla,minor,159130,159130
Nakhon Ratchasima,14.9736,102.0831,Thailand,TH,Nakhon Ratchasima,admin,134440,134440
Chiang Mai,18.7889,98.9833,Thailand,TH,Chiang Mai,admin,132634,132634
Surat Thani,9.1397,99.3306,Thailand,TH,Surat Thani,admin,130703,130703
Udon Thani,17.4164,102.7500,Thailand,TH,Udon Thani,admin,130274,130274
Khon Kaen,16.4297,102.8297,Thailand,TH,Khon Kaen,admin,115928,115928
Phatthaya,12.9496,100.8930,Thailand,TH,Chon Buri,,115840,115840
Nakhon Si Thammarat,8.4333,99.9667,Thailand,TH,Nakhon Si Thammarat,admin,106322,106322
Nakhon Sawan,15.7133,100.1353,Thailand,TH,Nakhon Sawan,admin,86439,86439
Ban Talat Rangsit,13.9870,100.6095,Thailand,TH,Pathum Thani,,79319,79319
Ubon Ratchathani,15.2281,104.8594,Thailand,TH,Ubon Ratchathani,admin,79023,79023
Nakhon Pathom,13.8194,100.0581,Thailand,TH,Nakhon Pathom,admin,78780,78780
Ban Laem Chabang,13.0860,100.9247,Thailand,TH,Chon Buri,,77798,77798
Phuket,7.8881,98.3975,Thailand,TH,Phuket,admin,77610,77610
Phitsanulok,16.8158,100.2636,Thailand,TH,Phitsanulok,admin,70871,70871
Chiang Rai,19.9094,99.8275,Thailand,TH,Chiang Rai,admin,70610,70610
Ban Nong Prue,12.9227,100.9375,Thailand,TH,Chon Buri,,70594,70594
Ko Samui,9.5157,99.9436,Thailand,TH,Surat Thani,minor,67265,67265
Ban Suan,13.3616,100.9795,Thailand,TH,Chon Buri,,66092,66092
Songkhla,7.2061,100.5967,Thailand,TH,Songkhla,admin,63834,63834
Ban Lam Sam Kaeo,13.9726,100.6506,Thailand,TH,Pathum Thani,,63271,63271
Rayong,12.6742,101.2789,Thailand,TH,Rayong,admin,61902,61902
Saraburi,14.5286,100.9114,Thailand,TH,Sara Buri,admin,61750,61750
Yala,6.5397,101.2811,Thailand,TH,Yala,admin,61250,61250
Ban Map Ta Phut,12.7258,101.1722,Thailand,TH,Rayong,,60928,60928
Trang,7.5561,99.6114,Thailand,TH,Trang,admin,60591,60591
Samut Sakhon,13.5486,100.2775,Thailand,TH,Samut Sakhon,admin,60103,60103
Hua Hin,12.5686,99.9578,Thailand,TH,Prachuap Khiri Khan,minor,59369,59369
Ban Bang Kaeo,13.6371,100.6636,Thailand,TH,Samut Prakan,,56949,56949
Khlong Luang,14.0649,100.6447,Thailand,TH,Pathum Thani,minor,56128,56128
Lampang,18.3000,99.5000,Thailand,TH,Lampang,admin,55044,55044
Prachuap Khiri Khan,11.8067,99.7956,Thailand,TH,Prachuap Khiri Khan,admin,54018,54018
Sakon Nakhon,17.1564,104.1456,Thailand,TH,Sakon Nakhon,admin,53618,53618
Phra Nakhon Si Ayutthaya,14.3550,100.5650,Thailand,TH,Phra Nakhon Si Ayutthaya,admin,52952,52952
Maha Sarakham,16.1772,103.3008,Thailand,TH,Maha Sarakham,admin,52866,52866
Ban Om Noi,13.7001,100.3241,Thailand,TH,Samut Sakhon,,52457,52457
Samut Prakan,13.6004,100.5964,Thailand,TH,Samut Prakan,admin,51309,51309
Bang Bua Thong,13.9099,100.4263,Thailand,TH,Nonthaburi,minor,50141,50141
Nong Khai,17.8842,102.7467,Thailand,TH,Nong Khai,admin,48274,48274
Ban Plai Bua Phatthana,13.9032,100.3989,Thailand,TH,Pathum Thani,,46274,46274
Ban Bang Mae Nang,13.8815,100.3759,Thailand,TH,Nonthaburi,,45974,45974
Ban Saen Suk,13.2882,100.9144,Thailand,TH,Chon Buri,,45142,45142
Pattani,6.8664,101.2508,Thailand,TH,Pattani,admin,44234,44234
Singhanakhon,7.2389,100.5506,Thailand,TH,Songkhla,minor,42423,42423
Si Sa Ket,15.1069,104.3294,Thailand,TH,Sisaket,admin,42405,42405
Bang Kruai,13.8042,100.4755,Thailand,TH,Nonthaburi,minor,42390,42390
Su-ngai Kolok,6.0297,101.9668,Thailand,TH,Narathiwat,minor,41590,41590
Muban Phimon Rat,13.9189,100.3922,Thailand,TH,Nonthaburi,,41498,41498
Narathiwat,6.4264,101.8231,Thailand,TH,Narathiwat,admin,41342,41342
Surin,14.8833,103.4931,Thailand,TH,Surin,admin,39728,39728
Chachoengsao,13.6903,101.0703,Thailand,TH,Chachoengsao,admin,39570,39570
Ban Bang Khu Lat,13.9134,100.3690,Thailand,TH,Nonthaburi,,38758,38758
Chaiyaphum,15.8056,102.0311,Thailand,TH,Chaiyaphum,admin,36923,36923
Ratchaburi,13.5367,99.8169,Thailand,TH,Ratchaburi,admin,36339,36339
Pak Chong,14.6796,101.3976,Thailand,TH,Nakhon Ratchasima,minor,35736,35736
Cha-am,12.7997,99.9669,Thailand,TH,Phetchaburi,minor,35581,35581
Roi Et,16.0578,103.6514,Thailand,TH,Roi Et,admin,35219,35219
Phatthalung,7.6178,100.0778,Thailand,TH,Phatthalung,admin,35039,35039
Kalasin,16.4333,103.5000,Thailand,TH,Kalasin,admin,34437,34437
Phra Phutthabat,14.7212,100.8047,Thailand,TH,Sara Buri,minor,34322,34322
Uttaradit,17.6256,100.0942,Thailand,TH,Uttaradit,admin,33930,33930
Chumphon,10.4939,99.1800,Thailand,TH,Chumphon,admin,33516,33516
Ban Pak Phun,8.5391,99.9702,Thailand,TH,Nakhon Si Thammarat,,33407,33407
Mukdahan,16.5431,104.7228,Thailand,TH,Mukdahan,admin,33102,33102
Ban Ang Sila,13.3364,100.9278,Thailand,TH,Chon Buri,,33053,33053
Chum Phae,16.5431,102.1104,Thailand,TH,Khon Kaen,minor,31597,31597
Mae Sot,16.7101,98.5707,Thailand,TH,Tak,minor,31530,31530
Ban Sai Ma Tai,13.8444,100.4829,Thailand,TH,Nonthaburi,,30750,30750
Thung Song,8.1645,99.6804,Thailand,TH,Nakhon Si Thammarat,minor,30500,30500
Krabi,8.0592,98.9189,Thailand,TH,Krabi,admin,30499,30499
Chon Buri,13.3611,100.9850,Thailand,TH,Chon Buri,admin,29961,29961
Ban Aranyik,16.8146,100.3051,Thailand,TH,Phitsanulok,,29825,29825
Kanchanaburi,14.0194,99.5311,Thailand,TH,Kanchanaburi,admin,29581,29581
Kamphaeng Phet,16.4811,99.5222,Thailand,TH,Kamphaeng Phet,admin,29178,29178
Ban Phai,16.0730,102.7362,Thailand,TH,Khon Kaen,minor,28913,28913
Buri Ram,14.9942,103.1022,Thailand,TH,Buriram,admin,28613,28613
Samut Songkhram,13.4097,100.0017,Thailand,TH,Samut Songkhram,admin,28493,28493
Warin Chamrap,15.2008,104.8612,Thailand,TH,Ubon Ratchathani,minor,28154,28154
Ban Chang,12.7209,101.0669,Thailand,TH,Rayong,minor,27668,27668
Ban Nong Sam Rong,17.4514,102.7650,Thailand,TH,Udon Thani,,27354,27354
Betong,5.7731,101.0725,Thailand,TH,Yala,minor,26640,26640
Nakhon Phanom,17.4069,104.7808,Thailand,TH,Nakhon Phanom,admin,26437,26437
Suphan Buri,14.4675,100.1169,Thailand,TH,Suphan Buri,admin,26164,26164
Kathu,7.9112,98.3475,Thailand,TH,Phuket,minor,26078,26078
Amnat Charoen,15.8500,104.6333,Thailand,TH,Amnat Charoen,admin,25858,25858
Takhli,15.2667,100.3500,Thailand,TH,Nakhon Sawan,minor,24563,24563
Ban Krathum Lom,13.7482,100.3139,Thailand,TH,Samut Sakhon,,24237,24237
Lop Buri,14.8000,100.6269,Thailand,TH,Lop Buri,admin,24166,24166
Chanthaburi,12.6086,102.1039,Thailand,TH,Chanthaburi,admin,23835,23835
Satun,6.6147,100.0681,Thailand,TH,Satun,admin,23612,23612
Ban Phru,6.9480,100.4794,Thailand,TH,Songkhla,,23518,23518
Sattahip,12.6636,100.9036,Thailand,TH,Chon Buri,minor,23418,23418
Si Racha,13.1744,100.9306,Thailand,TH,Chon Buri,minor,23400,23400
Phetchaburi,13.1119,99.9458,Thailand,TH,Phetchaburi,admin,23235,23235
Ban Mae Cho,18.9032,99.0041,Thailand,TH,Chiang Mai,,23140,23140
Ban Bang Krang,13.8442,100.4612,Thailand,TH,Nonthaburi,,23010,23010
Wichian Buri,15.6565,101.1072,Thailand,TH,Phetchabun,minor,22995,22995
Loei,17.4903,101.7250,Thailand,TH,Loei,admin,22339,22339
Phichit,16.4431,100.3467,Thailand,TH,Phichit,admin,22299,22299
Ban Khlong Ton Madua,13.6372,100.2967,Thailand,TH,Samut Sakhon,,22265,22265
Ban Piang Luang,19.6493,98.6352,Thailand,TH,Chiang Mai,,22215,22215
Phetchabun,16.4169,101.1533,Thailand,TH,Phetchabun,admin,22121,22121
Krathum Baen,13.6519,100.2572,Thailand,TH,Samut Sakhon,minor,21904,21904
Nong Bua Lamphu,17.2042,102.4444,Thailand,TH,Nong Bua Lamphu,admin,21528,21528
Nang Rong,14.6363,102.7746,Thailand,TH,Buriram,minor,21493,21493
Wang Nam Yen,13.5004,102.1806,Thailand,TH,Sa Kaeo,minor,21301,21301
Sadao,6.6386,100.4240,Thailand,TH,Songkhla,minor,21086,21086
Mae Sai,20.4266,99.8841,Thailand,TH,Chiang Rai,minor,20699,20699
Nan,18.7833,100.7833,Thailand,TH,Nan,admin,20595,20595
Pak Phanang,8.3511,100.2019,Thailand,TH,Nakhon Si Thammarat,minor,20425,20425
Yasothon,15.7883,104.1506,Thailand,TH,Yasothon,admin,20414,20414
Ban Na San,8.7997,99.3635,Thailand,TH,Surat Thani,minor,19801,19801
Kantharalak,14.6536,104.6278,Thailand,TH,Sisaket,minor,19392,19392
Ban Bueng,13.3140,101.1114,Thailand,TH,Chon Buri,minor,19346,19346
Tak Bai,6.2592,102.0530,Thailand,TH,Narathiwat,minor,18943,18943
Tha Bo,17.8494,102.5858,Thailand,TH,Nong Khai,minor,18320,18320
Sikhio,14.9000,101.7167,Thailand,TH,Nakhon Ratchasima,minor,18209,18209
Sa Kaeo,13.8206,102.0589,Thailand,TH,Sa Kaeo,admin,17864,17864
Sing Buri,14.8911,100.4031,Thailand,TH,Sing Buri,admin,17843,17843
Prachin Buri,14.0567,101.3739,Thailand,TH,Prachin Buri,admin,17768,17768
Sam Phran,13.7270,100.2153,Thailand,TH,Nakhon Pathom,minor,17611,17611
Tak,16.8711,99.1250,Thailand,TH,Tak,admin,17565,17565
Phayao,19.1653,99.9036,Thailand,TH,Phayao,admin,17467,17467
Ban Pong,13.8174,99.8830,Thailand,TH,Ratchaburi,minor,17298,17298
Sawankhalok,17.3096,99.8266,Thailand,TH,Sukhothai,minor,17148,17148
Phrae,18.1436,100.1417,Thailand,TH,Phrae,admin,16668,16668
Aranyaprathet,13.6928,102.5017,Thailand,TH,Sa Kaeo,minor,16211,16211
Nakhon Nayok,14.2031,101.2150,Thailand,TH,Nakhon Nayok,admin,16195,16195
Ranong,9.9619,98.6389,Thailand,TH,Ranong,admin,16125,16125
Ban Dung,17.6986,103.2613,Thailand,TH,Udon Thani,minor,15913,15913
Si Satchanalai,17.4155,99.8152,Thailand,TH,Sukhothai,minor,15691,15691
Sukhothai,17.0142,99.8219,Thailand,TH,Sukhothai,admin,15618,15618
Uthai Thani,15.3800,100.0250,Thailand,TH,Uthai Thani,admin,15434,15434
Thoen,17.6118,99.2160,Thailand,TH,Lampang,minor,15360,15360
Taphan Hin,16.2108,100.4188,Thailand,TH,Phichit,minor,15329,15329
Bang Racham,14.8864,100.3235,Thailand,TH,Sing Buri,minor,14577,14577
Pak Thong Chai,14.7302,102.0263,Thailand,TH,Nakhon Ratchasima,minor,14272,14272
Det Udom,14.9060,105.0784,Thailand,TH,Ubon Ratchathani,minor,14264,14264
Bua Yai,15.5858,102.4337,Thailand,TH,Nakhon Ratchasima,minor,14168,14168
Sai Buri,6.7012,101.6181,Thailand,TH,Pattani,minor,14137,14137
Pathum Thani,13.9841,100.5512,Thailand,TH,Pathum Thani,admin,13987,13987
Dok Kham Tai,19.1612,99.9946,Thailand,TH,Phayao,minor,13450,13450
Ang Thong,14.5925,100.4572,Thailand,TH,Ang Thong,admin,13277,13277
Song Phi Nong,14.2306,100.0389,Thailand,TH,Suphan Buri,minor,12926,12926
Kaeng Khoi,14.5864,100.9967,Thailand,TH,Sara Buri,minor,12752,12752
Lamphun,18.5803,99.0072,Thailand,TH,Lamphun,admin,12595,12595
Chai Nat,15.1872,100.1283,Thailand,TH,Chai Nat,admin,12541,12541
Kantang,7.4067,99.5150,Thailand,TH,Trang,minor,12533,12533
Lom Sak,16.7775,101.2468,Thailand,TH,Phetchabun,minor,12290,12290
Wang Saphung,17.2995,101.7624,Thailand,TH,Loei,minor,11992,11992
Tha Maka,13.9499,99.7530,Thailand,TH,Kanchanaburi,minor,11966,11966
Don Sak,9.3169,99.6944,Thailand,TH,Surat Thani,minor,11934,11934
Kuchinarai,16.5318,104.0440,Thailand,TH,Kalasin,minor,11753,11753
Phon,15.8160,102.5998,Thailand,TH,Khon Kaen,minor,11593,11593
Lang Suan,9.9519,99.0813,Thailand,TH,Chumphon,minor,11250,11250
Khlung,12.4547,102.2214,Thailand,TH,Chanthaburi,minor,11073,11073
Phanat Nikhom,13.4458,101.1844,Thailand,TH,Chon Buri,minor,11032,11032
Phibun Mangsahan,15.2482,105.2296,Thailand,TH,Ubon Ratchathani,minor,10842,10842
Kranuan,16.7081,103.0811,Thailand,TH,Khon Kaen,minor,10726,10726
Trat,12.2417,102.5125,Thailand,TH,Trat,admin,10413,10413
Phangnga,8.4644,98.5317,Thailand,TH,Phangnga,admin,10412,10412
Phra Pradaeng,13.6590,100.5329,Thailand,TH,Samut Prakan,minor,10190,10190
Tha Mai,12.6196,102.0112,Thailand,TH,Chanthaburi,minor,9843,9843
Photharam,13.6918,99.8531,Thailand,TH,Ratchaburi,minor,9575,9575
Takua Pa,8.8658,98.3413,Thailand,TH,Phangnga,minor,8815,8815
Bang Mun Nak,16.0278,100.3792,Thailand,TH,Phichit,minor,8756,8756
Chumsaeng,15.8980,100.3110,Thailand,TH,Nakhon Sawan,minor,8426,8426
Mae Hong Son,19.3011,97.9700,Thailand,TH,Mae Hong Son,admin,6526,6526
Khlong Yai,11.7763,102.8858,Thailand,TH,Trat,minor,4913,4913
Bueng Kan,18.3669,103.6552,Thailand,TH,Bueng Kan,admin,4494,4494
Sena,14.3273,100.4049,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,4060,4060
Ban Mi,15.0461,100.5358,Thailand,TH,Lop Buri,minor,3503,3503
Bangkok Yai,13.7232,100.4760,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Thon Buri,13.7250,100.4851,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Sathon,13.7085,100.5262,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Din Daeng,13.7699,100.5530,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Phlat,13.7942,100.5045,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Pom Prap Sattru Phai,13.7582,100.5132,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Kho Laem,13.6935,100.5022,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Ratchathewi,13.7590,100.5336,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Samphanthawong,13.7315,100.5141,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Khlong San,13.7309,100.5090,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Phaya Thai,13.7800,100.5427,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Yan Nawa,13.6963,100.5421,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Watthana,13.7298,100.5854,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bangkok Noi,13.7627,100.4780,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Khlong Toei,13.7167,100.5716,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Wang Thonglang,13.7855,100.6116,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Rak,13.7306,100.5239,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Kapi,13.7653,100.6470,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Sue,13.8100,100.5371,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Phra Nakhon,13.7651,100.4986,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Pathum Wan,13.7365,100.5239,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Phra Khanong,13.7019,100.6016,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Huai Khwang,13.7768,100.5790,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Chatuchak,13.8289,100.5599,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Dusit,13.7775,100.5198,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Phasi Charoen,13.7147,100.4369,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Rat Burana,13.6822,100.5060,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Chom Thong,13.6772,100.4841,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Lak Si,13.8872,100.5792,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Lat Phrao,13.8035,100.6075,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Na,13.6674,100.6421,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Taling Chan,13.7770,100.4567,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Don Mueang,13.9139,100.5899,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Khen,13.8738,100.5968,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Khae,13.6920,100.4069,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Nong Khaem,13.7053,100.3492,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bueng Kum,13.7853,100.6696,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Sai Mai,13.9207,100.6455,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Thung Khru,13.6287,100.5096,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Khan Na Yao,13.8261,100.6793,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Saphan Sung,13.7702,100.6853,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Suan Luang,13.7303,100.6514,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Bon,13.6619,100.3957,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Prawet,13.7174,100.6945,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Min Buri,13.8141,100.7314,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Khlong Sam Wa,13.8362,100.7352,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Bang Khun Thian,13.6630,100.4342,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Thanyaburi,14.0211,100.7343,Thailand,TH,Pathum Thani,minor,,
Lat Krabang,13.7234,100.7844,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Thawi Watthana,13.7885,100.3333,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Phra Samut Chedi,13.6022,100.5721,Thailand,TH,Samut Prakan,minor,,
Bang Yai,13.8764,100.4039,Thailand,TH,Nonthaburi,minor,,
Bang Phli,13.6063,100.7058,Thailand,TH,Samut Prakan,minor,,
Bang Sao Thong,13.5950,100.8304,Thailand,TH,Samut Prakan,minor,,
Lam Luk Ka,13.9323,100.7494,Thailand,TH,Pathum Thani,minor,,
Sam Khok,14.0655,100.5226,Thailand,TH,Pathum Thani,minor,,
Ko Si Chang,13.1639,100.8055,Thailand,TH,Chon Buri,minor,,
Ban Phaeo,13.5907,100.1075,Thailand,TH,Samut Sakhon,minor,,
Bang Bo,13.5743,100.8353,Thailand,TH,Samut Prakan,minor,,
Saraphi,18.7142,99.0353,Thailand,TH,Chiang Mai,minor,,
Nong Chok,13.8559,100.8622,Thailand,TH,Krung Thep Maha Nakhon,minor,,
Thalang,8.0317,98.3341,Thailand,TH,Phuket,minor,,
Lat Lum Kaeo,14.0373,100.4049,Thailand,TH,Pathum Thani,minor,,
Bang Lamung,12.9763,100.9141,Thailand,TH,Chon Buri,minor,,
San Pa Tong,18.6283,98.8957,Thailand,TH,Chiang Mai,minor,,
Bang Khon Thi,13.4691,99.9402,Thailand,TH,Samut Songkhram,minor,,
Sathing Phra,7.4730,100.4391,Thailand,TH,Songkhla,minor,,
Nakhon Chai Si,13.8013,100.1845,Thailand,TH,Nakhon Pathom,minor,,
Phan Thong,13.4680,101.0953,Thailand,TH,Chon Buri,minor,,
Damnoen Saduak,13.5182,99.9547,Thailand,TH,Ratchaburi,minor,,
Tha Ruea,14.5674,100.7260,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Nong Khae,14.3406,100.8673,Thailand,TH,Sara Buri,minor,,
Sai Noi,13.9791,100.3121,Thailand,TH,Nonthaburi,minor,,
Wiang Nong Long,18.4204,98.7497,Thailand,TH,Lamphun,minor,,
Nong Saeng,14.4921,100.7843,Thailand,TH,Sara Buri,minor,,
Ban Mo,14.6154,100.7273,Thailand,TH,Sara Buri,minor,,
Bang Pakong,13.5430,100.9933,Thailand,TH,Chachoengsao,minor,,
San Kamphaeng,18.7449,99.1195,Thailand,TH,Chiang Mai,minor,,
Don Tum,13.9609,100.0789,Thailand,TH,Nakhon Pathom,minor,,
Nong Suea,14.1348,100.8250,Thailand,TH,Pathum Thani,minor,,
Amphawa,13.4244,99.9569,Thailand,TH,Samut Songkhram,minor,,
Ban Laem,13.2047,99.9796,Thailand,TH,Phetchaburi,minor,,
Yarang,6.7599,101.2934,Thailand,TH,Pattani,minor,,
Salaya,13.8020,100.3211,Thailand,TH,Nakhon Pathom,minor,,
Bang Pa-in,14.2278,100.5759,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Yaring,6.8662,101.3689,Thailand,TH,Pattani,minor,,
Chulabhorn,8.0760,99.8695,Thailand,TH,Nakhon Si Thammarat,minor,,
Klaeng,12.7797,101.6483,Thailand,TH,Rayong,minor,,
Kamphaeng Saen,13.9997,99.9898,Thailand,TH,Nakhon Pathom,minor,,
Bang Pahan,14.4622,100.5448,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Bang Sai,14.3343,100.3038,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
San Sai,18.8479,99.0451,Thailand,TH,Chiang Mai,minor,,
Pa Mok,14.4899,100.4485,Thailand,TH,Ang Thong,minor,,
Srinagarindra,7.5699,99.9435,Thailand,TH,Phatthalung,minor,,
Nong Chik,6.8436,101.1780,Thailand,TH,Pattani,minor,,
Mae On,18.7768,99.2486,Thailand,TH,Chiang Mai,minor,,
Sao Hai,14.5508,100.8444,Thailand,TH,Sara Buri,minor,,
Wat Phleng,13.4541,99.8864,Thailand,TH,Ratchaburi,minor,,
Hang Dong,18.6870,98.9194,Thailand,TH,Chiang Mai,minor,,
Chaiyo,14.6488,100.4788,Thailand,TH,Ang Thong,minor,,
Panare,6.8619,101.4910,Thailand,TH,Pattani,minor,,
Phachi,14.4491,100.7283,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Phak Hai,14.4626,100.3667,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Bang Ban,14.3739,100.4853,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Tha Chang,14.7614,100.3899,Thailand,TH,Sing Buri,minor,,
Ban Pho,13.5986,101.0796,Thailand,TH,Chachoengsao,minor,,
Nakhon Luang,14.4628,100.6083,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Phrom Buri,14.7909,100.4532,Thailand,TH,Sing Buri,minor,,
Wang Noi,14.2269,100.7155,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
Mayo,6.7186,101.4098,Thailand,TH,Pattani,minor,,
Wiset Chaichan,14.5945,100.3383,Thailand,TH,Ang Thong,minor,,
